#This is the definitional data from Wikipedia for *training* Nonce2Vec.
#Each line consists of a word, followed by its definition. Slots (___)
#indicate where the word appears in the sentence.
#The data had been tokenised, with punctuation removed.

pride	___ is an inwardly directed emotion that carries two common meanings 
enthalpy	___ is a defined thermodynamic potential designated by the letter h that consists of the internal energy of the system u plus the product of pressure p and volume v of the system since u p and v are all functions of the state of the thermodynamic system ___ is a state function 
wapping	___ is a district in east london england in the london borough of tower hamlets 
commando	___ is a soldier or operative of an elite light infantry or special operations force often specializing in amphibious landings parachuting or abseiling 
propane	___ is a three carbon alkane with the molecular formula c3h8 normally a gas but compressible to a transportable liquid 
sunset	___ or sundown is the daily disappearance of the sun below the western horizon as a result of earth s rotation 
exxon	___ is a brand of motor fuel and related products by ___ 
dance	___ is the art of movement of the body usually rhythmically and to music using prescribed or improvised steps and gestures 
parallax	___ is a displacement or difference in the apparent position of an object viewed along two different lines of sight and is measured by the angle or semi angle of inclination between those two lines 
regeneration	___ is renewal through the internal processes of a body or system 
metastasis	___ or metastatic disease is the spread of a cancer or disease from one organ or part to another not directly connected with it 
fluorescence	___ is the emission of light by a substance that has absorbed light or other electromagnetic radiation 
tolerance	___ or toleration to tolerate or put up with conditionally also to suggest a fair objective and permissive attitude toward those whose opinions practices race religion nationality etc 
plymouth	___ is a city and unitary authority area on the south coast of devon england about 37 mi south west of exeter and about 190 mi south west of london 
manganese	___ is a chemical element with symbol mn and atomic number 25 
bison	___ sometimes erroneously called buffalo are large even toed ungulates in the genus ___ within the subfamily bovinae 
skiing	___ is a recreational activity and competitive winter sport in which the participant uses skis to glide on snow 
mead	___ archaic and dialectal medd from old english meodu is an alcoholic beverage created by fermenting honey with water and in adulterated form with various fruits spices grains or hops 
limehouse	___ is a district in east london england in the london borough of tower hamlets 
anthrax	___ is an acute disease caused by the bacterium bacillus anthracis 
arson	___ is the crime of intentionally and maliciously setting fire to buildings wildland areas vehicles or other property with the intent to cause damage 
graphite	___ is made almost entirely of carbon atoms and as with diamond is a semimetal native element mineral and an allotrope of carbon 
mist	___ is a phenomenon caused by small droplets of water suspended in air 
ealing	___ is a major suburban district of west london england and the administrative centre of the london borough of ___ 
brampton	___ or is a canadian city in southern ontario canada 
crayford	___ is a town and electoral ward in south east london england within the london borough of bexley 
molasses	___ american vernacular or black treacle british for human consumption known as ___ otherwise is a viscous by product of the refining of sugarcane or sugar beets into sugar 
astronomy	___ is a natural science which is the study of celestial objects such as stars galaxies planets moons asteroids comets and nebulae the physics chemistry and evolution of such objects and phenomena that originate outside the atmosphere of earth including supernovae explosions gamma ray bursts and cosmic microwave background radiation 
broadcasting	___ is the distribution of audio andor video content to a dispersed audience via any electronic mass communications medium but typically one using the electromagnetic spectrum radio waves in a one tomany model 
topography	___ is a field of geoscience and planetary science comprising the study of surface shape and features of the earth and other observable astronomical objects including planets moons and asteroids 
stationery	___ has historically pertained to a wide gamut of materials paper and office supplies writing implements greeting cards glue pencil cases and other similar items 
sonar	___ originally an acronym for sound navigation and ranging is a technique that uses sound propagation usually underwater as in submarine navigation to navigate communicate with or detect objects on or under the surface of the water such as other vessels 
recursion	 ___ is the process of repeating items in a self similar way 
bean	 ___ is a common name for large plant seeds of several genera of the family fabaceae alternately leguminosae which are used for human or animal food 
bavarian	___ is the adjective form of the german state of bavaria and refers to people of ancestry from bavaria 
cheers	___ is an american sitcom television series that ran for eleven seasons between 1982 and 1993 
chamomile	___ or camomile or is the common name for several daisy like plants of the family asteraceae that are commonly used to make herb infusion to serve various medicinal purposes 
binoculars	___ field glasses or binocular telescopes are a pair of identical or mirror symmetrical telescopes mounted side byside and aligned to point accurately in the same direction allowing the viewer to use both eyes binocular vision when viewing distant objects 
buckingham	___ is a town in north ___ england close to the borders of northamptonshire and oxfordshire 
disco	 ___ is a genre of music containing elements of funk soul pop salsa and psychedelic that was most popular in the 1970s though it has since enjoyed brief resurgences 
baccarat	___ german burgambach is a french commune in the meurthe etmoselle department in the lorraine region of north eastern france 
sabah	___ is malaysia s easternmost state one of two malaysian states on the island of borneo 
llangollen	___ is a small town and community in denbighshire north east wales situated on the river dee and on the edge of the berwyn mountains 
rounders	___ irish cluiche corr is a bat andball game played between two teams 
perversion	___ is a type of human behavior that deviates from that which is understood to be orthodox or normal 
microsoft	___ corporation or is an american multinational corporation headquartered in redmond washington that develops manufactures licenses supports and sells computer software consumer electronics and personal computers and services 
catford	___ is a district of south east london within the london borough of lewisham 
hammersmith	___ is a district in west london england located in the london borough of ___ and fulham 
darlington	___ is a market town in county durham in the north east of england 
humility	___ adjectival form humble is variously seen as the act or posture of lowering oneself in relation to others or conversely having a clear perspective and respect for one s place in context 
hypnotherapy	___ is a form of psychotherapy used to create subconscious change in a patient in the form of new responses thoughts attitudes behaviors or feelings 
avionics	___ are the electronic systems used on aircraft artificial satellites and spacecraft 
secession	___ derived from the latin term secessio is the act of withdrawing from an organization union military alliance or especially a political entity 
